Opening Hour ID,Parent Site ID,Site Name,Day,Start Time,End Time,Is Overnight?,Is Closed?
HOUR-0001,SITE-001,Pyramids of Giza,ALLDAYS,08:00,16:00,FALSE,FALSE
HOUR-0009,SITE-151,Al-Mu'izz Street,ALLDAYS,09:00,17:00,FALSE,FALSE
HOUR-0010,SITE-152,Cairo Citadel,ALLDAYS,08:00,17:00,FALSE,FALSE
HOUR-0011,SITE-153,Helwan Corner Museum,ALLDAYS,09:00,17:00,FALSE,FALSE
HOUR-0012,SITE-154,Cairo International Airport Museum - Terminal 2,ALLDAYS,00:00,00:00,FALSE,FALSE
HOUR-0014,SITE-156,The Egyptian Museum,ALLDAYS,09:00,17:00,FALSE,FALSE
HOUR-0015,SITE-157,Museum of Islamic Art,ALLDAYS,09:00,17:00,FALSE,FALSE
HOUR-0016,SITE-158,The Coptic Museum,ALLDAYS,09:00,17:00,FALSE,FALSE
HOUR-0017,SITE-159,National Museum of Egyptian Civilization(NMEC),ALLDAYS,09:00,17:00,FALSE,FALSE
HOUR-0018,SITE-160,Cairo International Airport Museum - Terminal 3,ALLDAYS,00:00,00:00,FALSE,FALSE
HOUR-0019,SITE-161,The Royal Carriages Museum,ALLDAYS,09:00,17:00,FALSE,FALSE
HOUR-0020,SITE-274,Gayer Anderson Museum (Bayt al-Kritliyya),ALLDAYS,09:00,15:00,FALSE,FALSE
HOUR-0021,SITE-275,Manial Palace Museum,ALLDAYS,09:00,17:00,FALSE,FALSE
HOUR-0022,SITE-276,The Hanging Church (Al-Muallaqah),ALLDAYS,09:00,16:00,FALSE,FALSE
HOUR-0023,SITE-277,Bab Zuwayla,ALLDAYS,09:00,17:00,FALSE,FALSE
HOUR-0024,SITE-184,Karnak,ALLDAYS,06:00,17:00,FALSE,FALSE
HOUR-0025,SITE-021,Castle Zaman,ALLDAYS,11:00,22:00,FALSE,FALSE
HOUR-0026,SITE-032,Saint Eugenie Church,ALLDAYS,09:00,13:00,FALSE,FALSE
HOUR-0027,SITE-061,Saint Shenouda Coptic Orthodox Church,ALLDAYS,09:00,21:00,FALSE,FALSE
HOUR-0028,SITE-017,Soho Square,ALLDAYS,16:00,01:00,TRUE,FALSE
HOUR-0029,SITE-022,Wishwashi Canyon,ALLDAYS,06:00,16:00,FALSE,FALSE
HOUR-0030,SITE-008,Colored Canyon,ALLDAYS,06:00,16:00,FALSE,FALSE
HOUR-0031,SITE-051,El Mina Masjid,ALLDAYS,04:00,22:00,FALSE,FALSE
HOUR-0032,SITE-086,The White Monastery,ALLDAYS,08:00,19:00,FALSE,FALSE
HOUR-0033,SITE-006,Mount Sinai,ALLDAYS,00:00,00:00,FALSE,FALSE
HOUR-0034,SITE-002,Saint Catherine's Monastery,ALLDAYS,09:00,11:30,FALSE,FALSE
HOUR-0035,SITE-043,El Lesan Area,ALLDAYS,00:00,00:00,FALSE,FALSE
